st,ct,as,sa
52,842,Sevantri,313333
52,842,Shishvi,313202
52,842,Singhara,313704
52,842,Siyana,313334
52,842,Suavaton Ka Guda,313704
52,842,Sundarcha,313324
52,842,Sunkhar,313333
52,842,T F Kankroli,313342
52,842,Tal,313331
52,842,Taladari,313325
52,842,Tansol,313334
52,842,Tantol,313334
52,842,Tarpal,313704
52,842,Thikarwas,313341
52,842,Thurawad,313333
52,842,Todawara Gujran,313333
52,842,Togi,305921
52,842,Tunkra,313334
52,842,Umarwas,313333
52,842,Unwas,313322
52,842,Usar,313321
52,842,Vati,313322
52,844,Abhawas,332604
52,844,Ajitgarh Amarsar,332701
52,844,Bajajgram Sikar,332021
52,844,Balaran,332401
52,844,Banura,332037
52,844,Baori,332411
52,844,Baya,332601
52,844,Beri,332045
52,844,Besawa,332303
52,844,Bhopatpura,332410
52,844,Bhudoli,332736
52,844,Bidarsar,332316
52,844,Chak Gopinathpura,332733
52,844,Chala,332737
52,844,Chaukari,332738
52,844,Chomu Purohitan,332605
52,844,Churi Miyan,332412
52,844,College Road Fatehpur,332301
52,844,Dabla Sikar,332727
52,844,Dadia,332036
52,844,Dadia Rampura,332413
52,844,Danta,332702
52,844,Danta Ramgarh,332703
52,844,Deorala,332704
52,844,Dhaliawas,332314
52,844,Dhandhan,332302
52,844,Dhod,332022
52,844,Doodwa,332747
52,844,Dujod,332032
52,844,Fatehpur Bazar,332301
52,844,Fatehpur H O Sekhawati,332301
52,844,Ganeri,332029
52,844,Ganeshwar,332705
52,844,Ganwari,332724
52,844,Garoda,332043
52,844,Gaushala Road,332715
52,844,Gorir,332748
52,844,Govindpura,332739
52,844,Guhala,332706
52,844,Gungara,332038
52,844,Gurara,332721
52,844,Harash,332035
52,844,Hassampur,332743
52,844,Hod,332728
52,844,Hospital Road Ringas,332404
52,844,Jairampura,332726
52,844,Jajod Fatehpur,332318
52,844,Jajod Sri Madhopur,332722
52,844,Jalpali,332730
52,844,Jankipura,332315
52,844,Jeelo,332744
52,844,Jetusar,332407
52,844,Jharli,332707
52,844,Kanwat Town,332708
52,844,Karad,332723
52,844,Kasli Sikar,332039
52,844,Katrathal,332024
52,844,Kayamsar,331033
52,844,Khachariawas,332710
52,844,Khandela,332709
52,844,Khatu Shyamji Ki,332602
52,844,Khoor,332023
52,844,Khuri Badi Sikar,332313
52,844,Kochhor,332406
52,844,Kolida,332040
52,844,Kotri Sikar,332740
52,844,Kudan,332031
52,844,Lachhmangarh Bazar,332311
52,844,Lachhmangarh Sekhawati,332311
52,844,Lakhni,332409
52,844,Lorwara,332725
52,844,Losal,332025
52,844,Losal Bazar,332025
52,844,Malikpur,332408
52,844,Mandha Surera,332742
52,844,Mandholi,332741
52,844,Mangloona,332044
52,844,Marg,332001
52,844,Mau,332735
52,844,Mehrauli,332603
52,844,Monda R S,332711
52,844,Mundru,332712
52,844,Nabipura,332306
52,844,Nathusar,332731
52,844,Nayama Bazar,332311
52,844,Nechwa,332026
52,844,Nehru Park Khandela,332709
52,844,Nim Ka Thana,332713
52,844,Nim Ka Thana Bazar,332713
52,844,Nim Ka Thana Town H O,332713
52,844,Pachar,332729
52,844,Palsana,332402
52,844,Patan,332718
52,844,Patoda,332312
52,844,Phagalwa,332041
52,844,Piplai,322214
52,844,Piprali,332027
52,844,Pritampuri,332745
52,844,Puranabas,332732
52,844,Purani Chhawni,332732
52,844,R C P Colony,332034
52,844,Raghunathgarh,332034
52,844,Ralawats Sikar,332734
52,844,Ramgarh Bazar,331024
52,844,Ramgarh Sikar,331024
52,844,Ranoli,332403
52,844,Ringas,332404
52,844,Ringas Town,332404
52,844,Rolsabsar,332304
52,844,Rorubadi,332317
52,844,Sadinsar,332305
52,844,Sekhisar,332308
52,844,Shishu,332405
52,844,Siar Mochiwara,332001
52,844,Sihot Badi,332028
52,844,Sihot Chhoti,332033
52,844,Sikar Bajaj Road,332001
52,844,Sikar Collectorate,332001
52,844,Sikar Devipura,332001
52,844,Sikar Fatehpuri Gate,332001
52,844,Sikar Gandhinagar,332001
52,844,Sikar H O,332001
52,844,Sikar Hospital Road,332001
52,844,Sikar Mahamandir Road,332001
52,844,Sikar Maulana Azad,332001
52,844,Sikariya Bazar Fatehpur,332301
52,844,Singrawat,332030
52,844,Sirohi Sikar,332714
52,844,Sri Madhopur Bazar,332715
52,844,Sri Madhopur H O,332715
52,844,Surana Bazar,332715
52,844,Tatonwa,332042
52,844,Thoi,332719
52,844,Tihawali,332307
52,844,Abhaipura,332402
52,844,Abhaneri,303326
52,844,Ajmeri,332701
52,844,Akwa,332315
52,844,Alkhpura Bogan,332312
52,844,Aloda,332602
52,844,Anokhu,332002
52,844,Aspura,332701
52,844,Athbigha,332709
52,844,Athwas,332401
52,844,Badhadhar,332315
52,844,Badusar,332317
52,844,Bagri,332311
52,844,Bagriawas,332715
52,844,Bagroda,332303
52,844,Bairas,332311
52,844,"bajaj Road, Sikar Ndtso",332001
52,844,Bajajgram,332021
52,844,Bajiawas,332601
52,844,Bajore,332403
52,844,Ballupura,332718
52,844,Balod Bhakaran,332305
52,844,Balod Chhoti,332305
52,844,Banathala,332601
52,844,Bane Ka Barkhera,303304
52,844,Banthod,332301
52,844,Barsinghpura,332402
52,844,Basri,332708
52,844,Basri Khurd,332708
